NUMERO;DATA;ORGAO;DESPESA;DATA INCLUSAO;VALOR;LIQUIDADO;PAGO;SALDO
2229;26/12/2022;02130 - Fundo Municipal de Saúde;319011 - Vencimentos e Vantagens Fixas - Pessoal Civil;27/12/2022;218.919,03;218.919,03;0;218.919,03
2228;26/12/2022;02130 - Fundo Municipal de Saúde;449052 - Equipamentos e Material Permanente;27/12/2022;301.800,00;0;0;301.800,00
2227;26/12/2022;02130 - Fundo Municipal de Saúde;319011 - Vencimentos e Vantagens Fixas - Pessoal Civil;27/12/2022;6.709,46;6.709,46;0;6.709,46
2226;26/12/2022;02130 - Fundo Municipal de Saúde;319011 - Vencimentos e Vantagens Fixas - Pessoal Civil;27/12/2022;233.059,82;233.059,82;0;233.059,82
2225;26/12/2022;02130 - Fundo Municipal de Saúde;319011 - Vencimentos e Vantagens Fixas - Pessoal Civil;27/12/2022;183.871,28;183.871,28;0;183.871,28
2224;23/12/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;23/12/2022;13.927,00;13.927,00;13.927,00;0
2223;23/12/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;23/12/2022;100.035,64;100.035,64;100.035,64;0
2222;23/12/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;23/12/2022;27.857,90;27.857,90;27.857,90;0
2221;23/12/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;23/12/2022;26.427,36;26.427,36;26.427,36;0
2220;23/12/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;23/12/2022;15.714,74;15.714,74;15.714,74;0
2219;23/12/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;23/12/2022;21.166,00;21.166,00;0;21.166,00
2218;23/12/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;23/12/2022;13.230,92;13.230,92;0;13.230,92
2217;23/12/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;23/12/2022;13.231,00;13.231,00;0;13.231,00
2216;23/12/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;23/12/2022;9.362,00;9.362,00;9.362,00;0
2215;23/12/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;23/12/2022;13.230,55;13.230,55;0;13.230,55
2214;23/12/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;23/12/2022;13.230,83;13.230,83;0;13.230,83
2213;23/12/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;23/12/2022;6.500,00;0;0;6.500,00
2212;23/12/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;23/12/2022;13.230,84;13.230,84;0;13.230,84
2211;23/12/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;23/12/2022;26.462,00;26.462,00;0;26.462,00
2210;23/12/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;23/12/2022;13.230,25;13.230,25;0;13.230,25
2209;23/12/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;23/12/2022;13.231,00;13.231,00;0;13.231,00
2208;23/12/2022;02130 - Fundo Municipal de Saúde;319011 - Vencimentos e Vantagens Fixas - Pessoal Civil;23/12/2022;25.194,95;0;0;0
2207;23/12/2022;02130 - Fundo Municipal de Saúde;319011 - Vencimentos e Vantagens Fixas - Pessoal Civil;23/12/2022;27.355,94;27.355,94;0;27.355,94
2206;23/12/2022;02130 - Fundo Municipal de Saúde;319011 - Vencimentos e Vantagens Fixas - Pessoal Civil;23/12/2022;43.991,90;43.991,90;0;43.991,90
2205;23/12/2022;02130 - Fundo Municipal de Saúde;319011 - Vencimentos e Vantagens Fixas - Pessoal Civil;23/12/2022;39.444,25;39.444,25;39.444,25;0
2204;23/12/2022;02130 - Fundo Municipal de Saúde;319011 - Vencimentos e Vantagens Fixas - Pessoal Civil;23/12/2022;125.898,86;125.898,86;125.898,86;0
2203;21/12/2022;02130 - Fundo Municipal de Saúde;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;23/12/2022;1.000,00;1.000,00;0;1.000,00
2202;21/12/2022;02130 - Fundo Municipal de Saúde;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;23/12/2022;1.000,00;1.000,00;0;1.000,00
2201;21/12/2022;02130 - Fundo Municipal de Saúde;449051 - Obras e Instalações;23/12/2022;107.301,76;107.301,76;107.301,76;0
2200;20/12/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;22/12/2022;26.461,51;26.461,51;0;26.461,51
2199;20/12/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;22/12/2022;26.461,97;26.461,97;0;26.461,97
2198;20/12/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;22/12/2022;13.229,19;13.229,19;0;13.229,19
2197;20/12/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;22/12/2022;13.228,60;13.228,60;0;13.228,60
2196;20/12/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;22/12/2022;13.229,19;13.229,19;0;13.229,19
2195;20/12/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;22/12/2022;26.462,00;0;0;0
2194;20/12/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;22/12/2022;26.460,03;26.460,03;0;26.460,03
2193;20/12/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;22/12/2022;13.230,97;13.230,97;0;13.230,97
2192;20/12/2022;02130 - Fundo Municipal de Saúde;339036 - Outros Serviços de Terceiros - Pessoa Física;22/12/2022;2.000,00;2.000,00;2.000,00;0
2191;20/12/2022;02130 - Fundo Municipal de Saúde;339036 - Outros Serviços de Terceiros - Pessoa Física;22/12/2022;1.513,33;1.513,33;1.513,33;0
2190;20/12/2022;02130 - Fundo Municipal de Saúde;339036 - Outros Serviços de Terceiros - Pessoa Física;22/12/2022;4.000,00;4.000,00;4.000,00;0
2189;20/12/2022;02130 - Fundo Municipal de Saúde;339036 - Outros Serviços de Terceiros - Pessoa Física;22/12/2022;2.700,00;2.700,00;2.700,00;0
2188;20/12/2022;02130 - Fundo Municipal de Saúde;339036 - Outros Serviços de Terceiros - Pessoa Física;22/12/2022;3.200,00;3.200,00;3.200,00;0
2187;20/12/2022;02130 - Fundo Municipal de Saúde;339036 - Outros Serviços de Terceiros - Pessoa Física;22/12/2022;2.200,00;2.200,00;2.200,00;0
2186;20/12/2022;02130 - Fundo Municipal de Saúde;339036 - Outros Serviços de Terceiros - Pessoa Física;22/12/2022;2.500,00;2.500,00;2.500,00;0
2185;20/12/2022;02130 - Fundo Municipal de Saúde;339036 - Outros Serviços de Terceiros - Pessoa Física;22/12/2022;2.400,00;2.400,00;2.400,00;0
2184;20/12/2022;02130 - Fundo Municipal de Saúde;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;22/12/2022;3.500,00;3.500,00;3.500,00;0
2183;20/12/2022;02130 - Fundo Municipal de Saúde;339036 - Outros Serviços de Terceiros - Pessoa Física;22/12/2022;1.500,00;1.500,00;1.500,00;0
2182;19/12/2022;02130 - Fundo Municipal de Saúde;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;20/12/2022;400;400;400;0
2181;19/12/2022;02130 - Fundo Municipal de Saúde;339036 - Outros Serviços de Terceiros - Pessoa Física;20/12/2022;6.000,00;6.000,00;6.000,00;0
2180;19/12/2022;02130 - Fundo Municipal de Saúde;339036 - Outros Serviços de Terceiros - Pessoa Física;20/12/2022;6.000,00;6.000,00;6.000,00;0
2179;19/12/2022;02130 - Fundo Municipal de Saúde;339036 - Outros Serviços de Terceiros - Pessoa Física;20/12/2022;6.000,00;6.000,00;6.000,00;0
2178;19/12/2022;02130 - Fundo Municipal de Saúde;339036 - Outros Serviços de Terceiros - Pessoa Física;20/12/2022;6.000,00;6.000,00;6.000,00;0
2177;19/12/2022;02130 - Fundo Municipal de Saúde;339036 - Outros Serviços de Terceiros - Pessoa Física;20/12/2022;6.000,00;6.000,00;6.000,00;0
2176;19/12/2022;02130 - Fundo Municipal de Saúde;339036 - Outros Serviços de Terceiros - Pessoa Física;20/12/2022;6.000,00;6.000,00;6.000,00;0
2175;19/12/2022;02130 - Fundo Municipal de Saúde;339036 - Outros Serviços de Terceiros - Pessoa Física;20/12/2022;6.000,00;6.000,00;6.000,00;0
2174;19/12/2022;02130 - Fundo Municipal de Saúde;339036 - Outros Serviços de Terceiros - Pessoa Física;20/12/2022;6.000,00;6.000,00;6.000,00;0
2173;19/12/2022;02130 - Fundo Municipal de Saúde;339036 - Outros Serviços de Terceiros - Pessoa Física;20/12/2022;6.000,00;6.000,00;6.000,00;0
2172;19/12/2022;02130 - Fundo Municipal de Saúde;339036 - Outros Serviços de Terceiros - Pessoa Física;20/12/2022;6.000,00;6.000,00;6.000,00;0
2171;19/12/2022;02130 - Fundo Municipal de Saúde;339093 - Indenizações e Restituições;20/12/2022;1.100,00;1.100,00;1.100,00;0
2170;19/12/2022;02130 - Fundo Municipal de Saúde;339093 - Indenizações e Restituições;20/12/2022;1.100,00;1.100,00;1.100,00;0
2169;19/12/2022;02130 - Fundo Municipal de Saúde;339093 - Indenizações e Restituições;20/12/2022;1.100,00;1.100,00;1.100,00;0
2168;19/12/2022;02130 - Fundo Municipal de Saúde;339093 - Indenizações e Restituições;20/12/2022;1.100,00;1.100,00;1.100,00;0
2167;19/12/2022;02130 - Fundo Municipal de Saúde;339093 - Indenizações e Restituições;20/12/2022;1.100,00;1.100,00;1.100,00;0
2166;19/12/2022;02130 - Fundo Municipal de Saúde;339093 - Indenizações e Restituições;20/12/2022;1.100,00;1.100,00;1.100,00;0
2165;19/12/2022;02130 - Fundo Municipal de Saúde;339093 - Indenizações e Restituições;20/12/2022;1.500,00;1.500,00;1.500,00;0
2164;19/12/2022;02130 - Fundo Municipal de Saúde;339093 - Indenizações e Restituições;20/12/2022;1.500,00;1.500,00;1.500,00;0
2163;19/12/2022;02130 - Fundo Municipal de Saúde;339036 - Outros Serviços de Terceiros - Pessoa Física;20/12/2022;2.200,00;2.200,00;2.200,00;0
2162;19/12/2022;02130 - Fundo Municipal de Saúde;339036 - Outros Serviços de Terceiros - Pessoa Física;20/12/2022;3.200,00;3.200,00;3.200,00;0
2161;19/12/2022;02130 - Fundo Municipal de Saúde;339036 - Outros Serviços de Terceiros - Pessoa Física;20/12/2022;2.200,00;2.200,00;2.200,00;0
2160;19/12/2022;02130 - Fundo Municipal de Saúde;339036 - Outros Serviços de Terceiros - Pessoa Física;20/12/2022;2.500,00;2.500,00;2.500,00;0
2159;19/12/2022;02130 - Fundo Municipal de Saúde;339036 - Outros Serviços de Terceiros - Pessoa Física;20/12/2022;2.000,00;2.000,00;2.000,00;0
2158;19/12/2022;02130 - Fundo Municipal de Saúde;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;20/12/2022;3.500,00;3.500,00;3.500,00;0
2157;16/12/2022;02130 - Fundo Municipal de Saúde;339036 - Outros Serviços de Terceiros - Pessoa Física;19/12/2022;1.500,00;1.500,00;1.500,00;0
2156;16/12/2022;02130 - Fundo Municipal de Saúde;339036 - Outros Serviços de Terceiros - Pessoa Física;19/12/2022;4.000,00;4.000,00;4.000,00;0
2154;16/12/2022;02130 - Fundo Municipal de Saúde;339036 - Outros Serviços de Terceiros - Pessoa Física;19/12/2022;1.513,33;1.513,33;1.513,33;0
2153;16/12/2022;02130 - Fundo Municipal de Saúde;339036 - Outros Serviços de Terceiros - Pessoa Física;19/12/2022;2.700,00;2.700,00;2.700,00;0
2152;16/12/2022;02130 - Fundo Municipal de Saúde;339036 - Outros Serviços de Terceiros - Pessoa Física;19/12/2022;2.400,00;2.400,00;2.400,00;0
2151;16/12/2022;02130 - Fundo Municipal de Saúde;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;19/12/2022;1.200,00;1.200,00;1.200,00;0
2144;15/12/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;16/12/2022;22.135,73;0;0;22.135,73
2143;15/12/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;16/12/2022;49.252,04;0;0;49.252,04
2110;13/12/2022;02130 - Fundo Municipal de Saúde;339014 - Diárias - Civil;14/12/2022;640;640;640;0
2109;13/12/2022;02130 - Fundo Municipal de Saúde;339014 - Diárias - Civil;14/12/2022;230;230;230;0
2108;13/12/2022;02130 - Fundo Municipal de Saúde;339014 - Diárias - Civil;14/12/2022;690;690;690;0
2107;13/12/2022;02130 - Fundo Municipal de Saúde;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;14/12/2022;79,25;79,25;79,25;0
2106;13/12/2022;02130 - Fundo Municipal de Saúde;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;14/12/2022;154,72;154,72;154,72;0
2105;13/12/2022;02130 - Fundo Municipal de Saúde;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;14/12/2022;89,22;89,22;89,22;0
2104;13/12/2022;02130 - Fundo Municipal de Saúde;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;14/12/2022;298,2;298,2;298,2;0
2103;13/12/2022;02130 - Fundo Municipal de Saúde;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;14/12/2022;2.040,00;2.040,00;2.040,00;0
2102;13/12/2022;02130 - Fundo Municipal de Saúde;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;14/12/2022;46,03;46,03;46,03;0
2101;13/12/2022;02130 - Fundo Municipal de Saúde;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;14/12/2022;128,34;128,34;128,34;0
2100;13/12/2022;02130 - Fundo Municipal de Saúde;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;14/12/2022;81,04;81,04;81,04;0
2099;13/12/2022;02130 - Fundo Municipal de Saúde;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;14/12/2022;418,56;418,56;418,56;0
2098;13/12/2022;02130 - Fundo Municipal de Saúde;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;14/12/2022;867,06;867,06;867,06;0
2097;13/12/2022;02130 - Fundo Municipal de Saúde;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;14/12/2022;541,85;541,85;541,85;0
2096;13/12/2022;02130 - Fundo Municipal de Saúde;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;14/12/2022;91,11;91,11;91,11;0
2095;13/12/2022;02130 - Fundo Municipal de Saúde;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;14/12/2022;552,02;552,02;552,02;0
2094;13/12/2022;02130 - Fundo Municipal de Saúde;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;14/12/2022;885,28;885,28;885,28;0
2093;13/12/2022;02130 - Fundo Municipal de Saúde;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;14/12/2022;620,29;620,29;620,29;0
2092;13/12/2022;02130 - Fundo Municipal de Saúde;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;14/12/2022;847,45;847,45;847,45;0
2091;12/12/2022;02130 - Fundo Municipal de Saúde;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;13/12/2022;368,3;368,3;368,3;0
2090;12/12/2022;02130 - Fundo Municipal de Saúde;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;13/12/2022;733,14;733,14;733,14;0
2089;12/12/2022;02130 - Fundo Municipal de Saúde;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;13/12/2022;702,11;702,11;702,11;0
2088;12/12/2022;02130 - Fundo Municipal de Saúde;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;13/12/2022;730,14;730,14;730,14;0
2087;12/12/2022;02130 - Fundo Municipal de Saúde;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;13/12/2022;1.431,10;1.431,10;1.431,10;0
2086;12/12/2022;02130 - Fundo Municipal de Saúde;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;13/12/2022;452,08;452,08;452,08;0
2085;12/12/2022;02130 - Fundo Municipal de Saúde;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;13/12/2022;463,51;463,51;463,51;0
2084;08/12/2022;02130 - Fundo Municipal de Saúde;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;12/12/2022;46.404,43;46.404,43;46.404,43;0
2083;07/12/2022;02130 - Fundo Municipal de Saúde;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;07/12/2022;46.846,44;46.846,44;46.846,44;0
2082;07/12/2022;02130 - Fundo Municipal de Saúde;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;07/12/2022;31.230,96;31.230,96;31.230,96;0
2081;02/12/2022;02130 - Fundo Municipal de Saúde;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;05/12/2022;46.846,44;0;0;0
2080;02/12/2022;02130 - Fundo Municipal de Saúde;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;05/12/2022;31.230,96;0;0;0
2023;30/11/2022;02130 - Fundo Municipal de Saúde;319011 - Vencimentos e Vantagens Fixas - Pessoal Civil;30/11/2022;277.620,56;277.620,56;0;277.620,56
2022;30/11/2022;02130 - Fundo Municipal de Saúde;319011 - Vencimentos e Vantagens Fixas - Pessoal Civil;30/11/2022;37.541,81;37.541,81;0;37.541,81
2021;30/11/2022;02130 - Fundo Municipal de Saúde;319011 - Vencimentos e Vantagens Fixas - Pessoal Civil;30/11/2022;120.450,86;120.450,86;0;120.450,86
2020;30/11/2022;02130 - Fundo Municipal de Saúde;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;30/11/2022;7.000,00;7.000,00;0;7.000,00
2019;28/11/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;30/11/2022;3.840,00;3.840,00;0;3.840,00
2018;28/11/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;30/11/2022;1.696,72;1.696,72;0;1.696,72
2017;28/11/2022;02130 - Fundo Municipal de Saúde;339014 - Diárias - Civil;30/11/2022;640;640;640;0
2016;28/11/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;30/11/2022;6.962,00;6.962,00;0;6.962,00
2015;28/11/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;30/11/2022;35.000,00;35.000,00;0;35.000,00
2014;28/11/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;30/11/2022;103.114,40;103.114,40;0;103.114,40
2013;28/11/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;30/11/2022;99.998,80;99.998,80;0;99.998,80
1984;22/11/2022;02130 - Fundo Municipal de Saúde;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;23/11/2022;50.000,00;50.000,00;50.000,00;0
1983;17/11/2022;02130 - Fundo Municipal de Saúde;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;18/11/2022;6.719,73;6.719,73;6.719,73;0
1982;17/11/2022;02130 - Fundo Municipal de Saúde;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;18/11/2022;614,72;614,72;614,72;0
1981;17/11/2022;02130 - Fundo Municipal de Saúde;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;18/11/2022;614,72;614,72;614,72;0
1980;17/11/2022;02130 - Fundo Municipal de Saúde;339014 - Diárias - Civil;18/11/2022;230;230;230;0
1979;17/11/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;18/11/2022;6.009,46;6.009,46;6.009,46;0
1978;14/11/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;17/11/2022;6.729,23;0;0;0
1977;14/11/2022;02130 - Fundo Municipal de Saúde;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;17/11/2022;3.250,00;3.250,00;3.250,00;0
1976;14/11/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;17/11/2022;3.618,31;3.618,31;3.618,31;0
1975;14/11/2022;02130 - Fundo Municipal de Saúde;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;17/11/2022;7.322,56;7.322,56;0;0
1974;14/11/2022;02130 - Fundo Municipal de Saúde;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;17/11/2022;500;500;500;0
1973;14/11/2022;02130 - Fundo Municipal de Saúde;339032 - Material, Bem ou Serviço para Distribuição Gratuita;17/11/2022;390;390;390;0
1972;14/11/2022;02130 - Fundo Municipal de Saúde;339093 - Indenizações e Restituições;17/11/2022;30.000,00;30.000,00;30.000,00;0
1971;11/11/2022;02130 - Fundo Municipal de Saúde;339093 - Indenizações e Restituições;11/11/2022;30.000,00;0;0;0
1970;10/11/2022;02130 - Fundo Municipal de Saúde;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;11/11/2022;2.400,00;2.400,00;2.400,00;0
